date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:36:46	219475/219475	---MCZ	200	added ('OK')	text/html	etag:W/%22f5cf705a9e06cbfc44b8ebf8ec01cf0f%22	https://github.com/GeoSensorWebLab/polarmap.js	C:/Mis%20lugares%20Web/Leaflet/github.com/GeoSensorWebLab/polarmap.html	(from https://leafletjs.com/plugins.html)
07:36:47	256857/256857	---MCZ	200	added ('OK')	text/html	etag:W/%22f91595d7558b0e5b00107e0cfdfb5e12%22	https://github.com/giscience/geogrid.js	C:/Mis%20lugares%20Web/Leaflet/github.com/giscience/geogrid.html	(from https://leafletjs.com/plugins.html)
07:36:47	4718/4718	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263e2c129-126e%22	https://leafletjs.com/javascript/3/jssamples/widget_home.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/javascript/3/jssamples/widget_home.html	(from https://leafletjs.com/plugins.html)
07:36:47	217912/217912	---MCZ	200	added ('OK')	text/html	etag:W/%225a59f59a8f57e2e88bb0465657b00240%22	https://github.com/springmeyer/arc.js	C:/Mis%20lugares%20Web/Leaflet/github.com/springmeyer/arc.html	(from https://leafletjs.com/plugins.html)
07:36:48	190791/190791	---MCZ	200	added ('OK')	text/html	etag:W/%229c6cbe45ffd884d91629c2aa57d4c591%22	https://github.com/leaflet-extras/leaflet.css	C:/Mis%20lugares%20Web/Leaflet/github.com/leaflet-extras/leaflet.html	(from https://leafletjs.com/plugins.html)
07:36:48	6107/6107	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-17db%22	https://leafletjs.com/2022/04/18/leaflet-1.8.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2022/04/18/leaflet-1.8.0.html	(from https://leafletjs.com/blog.html)
07:36:49	5388/5388	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-150c%22	https://leafletjs.com/2020/09/04/leaflet-1.7.1.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2020/09/04/leaflet-1.7.1.html	(from https://leafletjs.com/blog.html)
07:36:49	5373/5373	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-14fd%22	https://leafletjs.com/2019/11/17/leaflet-1.6.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2019/11/17/leaflet-1.6.0.html	(from https://leafletjs.com/blog.html)
07:36:49	4700/4700	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-125c%22	https://leafletjs.com/2019/05/08/leaflet-1.5.1.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2019/05/08/leaflet-1.5.1.html	(from https://leafletjs.com/blog.html)
07:36:49	5423/5423	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-152f%22	https://leafletjs.com/2019/05/08/leaflet-1.5.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2019/05/08/leaflet-1.5.0.html	(from https://leafletjs.com/blog.html)
07:36:50	4876/4876	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-130c%22	https://leafletjs.com/2018/12/30/leaflet-1.4.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2018/12/30/leaflet-1.4.0.html	(from https://leafletjs.com/blog.html)
07:36:50	4911/4911	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-132f%22	https://leafletjs.com/2018/08/21/leaflet-1.3.4.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2018/08/21/leaflet-1.3.4.html	(from https://leafletjs.com/blog.html)
07:36:50	4884/4884	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-1314%22	https://leafletjs.com/2018/07/18/leaflet-1.3.3.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2018/07/18/leaflet-1.3.3.html	(from https://leafletjs.com/blog.html)
07:36:50	4746/4746	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-128a%22	https://leafletjs.com/2018/07/17/leaflet-1.3.2.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2018/07/17/leaflet-1.3.2.html	(from https://leafletjs.com/blog.html)
07:36:50	4773/4773	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-12a5%22	https://leafletjs.com/2018/01/18/leaflet-1.3.1.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2018/01/18/leaflet-1.3.1.html	(from https://leafletjs.com/blog.html)
07:36:51	4802/4802	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-12c2%22	https://leafletjs.com/2018/01/15/leaflet-1.3.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2018/01/15/leaflet-1.3.0.html	(from https://leafletjs.com/blog.html)
07:36:51	5661/5661	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-161d%22	https://leafletjs.com/2017/08/08/leaflet-1.2.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2017/08/08/leaflet-1.2.0.html	(from https://leafletjs.com/blog.html)
07:36:51	5521/5521	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-1591%22	https://leafletjs.com/2017/06/27/leaflet-1.1.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2017/06/27/leaflet-1.1.0.html	(from https://leafletjs.com/blog.html)
07:36:51	5535/5535	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-159f%22	https://leafletjs.com/2017/01/23/leaflet-1.0.3.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2017/01/23/leaflet-1.0.3.html	(from https://leafletjs.com/blog.html)
07:36:52	5418/5418	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-152a%22	https://leafletjs.com/2016/11/21/leaflet-1.0.2.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2016/11/21/leaflet-1.0.2.html	(from https://leafletjs.com/blog.html)
07:36:52	7985/7985	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-1f31%22	https://leafletjs.com/2016/09/27/leaflet-1.0-final.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2016/09/27/leaflet-1.0-final.html	(from https://leafletjs.com/blog.html)
07:36:52	7476/7476	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-1d34%22	https://leafletjs.com/2016/08/05/leaflet-1.0-rc3.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2016/08/05/leaflet-1.0-rc3.html	(from https://leafletjs.com/blog.html)
07:36:52	8352/8352	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-20a0%22	https://leafletjs.com/2016/07/16/leaflet-1.0-rc2.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2016/07/16/leaflet-1.0-rc2.html	(from https://leafletjs.com/blog.html)
07:36:53	10295/10295	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-2837%22	https://leafletjs.com/2016/04/18/leaflet-1.0-rc1.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2016/04/18/leaflet-1.0-rc1.html	(from https://leafletjs.com/blog.html)
07:36:53	13091/13091	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-3323%22	https://leafletjs.com/2016/03/20/debugging-touch-interactions.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2016/03/20/debugging-touch-interactions.html	(from https://leafletjs.com/blog.html)
07:36:53	6895/6895	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-1aef%22	https://leafletjs.com/2015/10/14/leaflet-1.0-beta2-released.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2015/10/14/leaflet-1.0-beta2-released.html	(from https://leafletjs.com/blog.html)
07:36:53	6224/6224	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-1850%22	https://leafletjs.com/2015/09/01/leaflet-0.7.4-released.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2015/09/01/leaflet-0.7.4-released.html	(from https://leafletjs.com/blog.html)
07:36:54	9156/9156	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-23c4%22	https://leafletjs.com/2015/07/15/leaflet-1.0-beta1-released.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2015/07/15/leaflet-1.0-beta1-released.html	(from https://leafletjs.com/blog.html)
07:36:54	6098/6098	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-17d2%22	https://leafletjs.com/2015/07/01/leaflet-is-alive-and-kicking.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2015/07/01/leaflet-is-alive-and-kicking.html	(from https://leafletjs.com/blog.html)
